iter	Passed	Remaining
444	1117	1393
445	1119	1390
446	1120	1386
447	1121	1381
448	1122	1377
449	1123	1373
450	1124	1369
451	1125	1365
452	1127	1360
453	1128	1356
454	1129	1352
455	1130	1348
456	1131	1344
457	1133	1340
458	1134	1336
459	1135	1332
460	1136	1328
461	1137	1324
462	1138	1320
463	1139	1316
464	1143	1316
465	1149	1317
466	1152	1314
467	1153	1311
468	1155	1308
469	1157	1304
470	1158	1301
471	1159	1297
472	1162	1294
473	1164	1292
474	1166	1289
475	1170	1288
476	1173	1286
477	1189	1298
478	1190	1295
479	1192	1291
480	1194	1288
481	1196	1285
482	1197	1282
483	1200	1279
484	1201	1276
485	1203	1272
486	1206	1270
487	1208	1267
488	1210	1264
489	1211	1261
490	1213	1258
491	1215	1254
492	1217	1251
493	1218	1248
494	1220	1245
495	1222	1241
496	1224	1238
497	1225	1235
498	1227	1232
499	1228	1228
500	1230	1225
501	1232	1222
502	1233	1218
503	1235	1215
504	1236	1212
505	1238	1208
506	1239	1205
507	1241	1202
508	1242	1198
509	1244	1195
510	1245	1192
511	1247	1188
512	1248	1185
513	1250	1182
514	1251	1178
515	1253	1175
516	1255	1172
517	1256	1169
518	1258	1166
519	1259	1162
520	1261	1159
521	1262	1156
522	1264	1153
523	1266	1150
524	1267	1147
525	1269	1144
526	1271	1141
527	1273	1138
528	1275	1136
529	1278	1133
530	1279	1130
531	1281	1127
532	1283	1124
533	1285	1121
534	1287	1118
535	1288	1115
536	1289	1111
537	1290	1108
538	1291	1105
539	1293	1101
540	1294	1098
541	1296	1095
542	1297	1091
543	1298	1088
544	1300	1085
545	1302	1082
546	1303	1079
547	1304	1076
548	1306	1073
549	1307	1069
550	1308	1066
551	1309	1062
552	1310	1059
553	1311	1056
554	1313	1052
555	1314	1049
556	1315	1046
557	1316	1042
558	1317	1039
559	1319	1036
560	1320	1033
561	1321	1029
562	1322	1026
563	1323	1023
564	1324	1019
565	1325	1016
566	1326	1013
567	1328	1010
568	1329	1006
569	1330	1003
570	1331	1000
571	1332	997
572	1333	994
573	1334	990
574	1336	987
575	1337	984
576	1338	981
577	1339	978
578	1340	974
579	1341	971
580	1342	968
581	1343	965
582	1345	962
583	1346	959
584	1347	956
585	1348	952
586	1350	949
587	1351	946
588	1352	943
589	1353	940
590	1355	938
591	1356	935
592	1358	932
593	1359	929
594	1360	926
595	1361	923
596	1363	920
597	1364	917
598	1366	914
599	1367	911
600	1369	908
601	1370	906
602	1372	903
603	1373	900
604	1375	898
605	1377	895
606	1378	892
607	1380	889
608	1381	887
609	1383	884
610	1384	881
611	1386	878
612	1387	876
613	1389	873
614	1390	870
615	1392	867
616	1393	865
617	1395	862
618	1396	859
619	1398	857
620	1399	854
621	1401	851
622	1402	848
623	1404	846
624	1406	843
625	1407	841
626	1409	838
627	1410	835
628	1412	832
629	1413	830
630	1415	827
631	1416	824
632	1418	822
633	1419	819
634	1421	816
635	1422	814
636	1424	811
637	1425	808
638	1427	806
639	1428	803
640	1430	800
641	1431	798
642	1433	795
643	1434	792
644	1435	790
645	1437	787
646	1439	785
647	1441	782
648	1443	780
649	1444	778
650	1446	775
651	1447	772
652	1449	770
653	1450	767
654	1452	764
655	1453	762
656	1455	759
657	1456	757
658	1458	754
659	1459	752
660	1461	749
661	1463	747
662	1465	744
663	1466	742
664	1468	739
665	1470	737
666	1471	734
667	1473	732
668	1475	729
669	1477	727
670	1478	725
671	1480	722
672	1482	720
673	1484	718
674	1486	715
675	1488	713
676	1490	710
677	1491	708
678	1493	706
679	1495	703
680	1497	701
681	1498	698
682	1500	696
683	1501	693
684	1502	691
685	1504	688
686	1506	686
687	1507	683
688	1509	681
689	1510	678
690	1512	676
691	1513	673
692	1515	671
693	1517	668
694	1518	666
695	1520	664
696	1522	661
697	1523	659
698	1525	656
699	1526	654
700	1527	651
701	1528	649
702	1530	646
703	1531	643
704	1532	641
705	1533	638
706	1534	635
707	1535	633
708	1536	630
709	1537	628
710	1538	625
711	1540	623
712	1541	620
713	1542	617
714	1543	615
715	1545	612
716	1547	610
717	1549	608
718	1550	606
719	1552	603
720	1553	601
721	1554	598
722	1556	596
723	1557	593
724	1558	591
725	1559	588
726	1560	586
727	1561	583
728	1563	581
729	1564	578
730	1565	576
731	1566	573
732	1568	571
733	1570	569
734	1572	566
735	1575	564
736	1577	563
737	1580	561
738	1582	558
739	1583	556
740	1586	554
741	1588	552
742	1590	550
743	1592	548
744	1594	545
745	1596	543
746	1598	541
747	1600	539
748	1601	536
749	1603	534
750	1605	532
751	1607	530
752	1632	535
753	1634	533
754	1635	530
755	1637	528
756	1639	526
757	1641	524
758	1644	522
759	1647	520
760	1649	518
761	1651	515
762	1653	513
763	1655	511
764	1657	509
765	1659	507
766	1662	504
767	1664	502
768	1665	500
769	1667	498
770	1669	496
771	1672	493
772	1673	491
773	1675	489
774	1676	486
775	1678	484
776	1680	482
777	1682	480
778	1684	477
779	1685	475
780	1687	473
781	1689	470
782	1690	468
783	1692	466
784	1694	464
785	1696	461
786	1698	459
787	1700	457
788	1702	455
789	1703	452
790	1706	450
791	1708	448
792	1710	446
793	1712	444
794	1713	441
795	1714	439
796	1715	437
797	1716	434
798	1718	432
799	1719	429
800	1720	427
801	1722	425
802	1723	422
803	1725	420
804	1727	418
805	1729	416
806	1730	413
807	1731	411
808	1733	409
809	1734	406
810	1735	404
811	1737	402
812	1738	399
813	1740	397
814	1742	395
815	1743	393
816	1744	390
817	1745	388
818	1746	386
819	1747	383
820	1748	381
821	1749	378
822	1751	376
823	1752	374
824	1753	371
825	1754	369
826	1755	367
827	1757	364
828	1758	362
829	1759	360
830	1760	358
831	1761	355
832	1762	353
833	1764	351
834	1765	348
835	1766	346
836	1767	344
837	1769	341
838	1770	339
839	1771	337
840	1772	335
841	1773	332
842	1775	330
843	1776	328
844	1777	326
845	1778	323
846	1779	321
847	1780	319
848	1781	316
849	1783	314
850	1784	312
851	1786	310
852	1787	308
853	1788	305
854	1789	303
855	1790	301
856	1791	298
857	1793	296
858	1796	294
859	1798	292
860	1799	290
861	1801	288
862	1803	286
863	1805	284
864	1807	282
865	1809	279
866	1811	277
867	1813	275
868	1815	273
869	1817	271
870	1819	269
871	1820	267
872	1822	265
873	1824	262
874	1826	260
875	1828	258
876	1830	256
877	1832	254
878	1833	252
879	1835	250
880	1838	248
881	1840	246
882	1841	244
883	1844	242
884	1845	239
885	1847	237
886	1849	235
887	1851	233
888	1853	231
889	1854	229
890	1856	227
891	1858	224
892	1860	222
893	1862	220
894	1865	218
895	1867	216
896	1870	214
897	1873	212
898	1875	210
899	1877	208
900	1880	206
901	1881	204
902	1883	202
903	1885	200
904	1887	198
905	1889	196
906	1891	193
907	1893	191
908	1895	189
909	1897	187
910	1899	185
911	1901	183
912	1903	181
913	1905	179
914	1907	177
915	1909	175
916	1911	172
917	1913	170
918	1915	168
919	1917	166
920	1919	164
921	1921	162
922	1923	160
923	1925	158
924	1927	156
925	1930	154
926	1931	152
927	1933	149
928	1934	147
929	1936	145
930	1937	143
931	1939	141
932	1941	139
933	1943	137
934	1944	135
935	1946	133
936	1948	131
937	1950	128
938	1952	126
939	1953	124
940	1955	122
941	1957	120
942	1959	118
943	1960	116
944	1962	114
945	1963	112
946	1965	110
947	1967	107
948	1968	105
949	1969	103
950	1971	101
951	1972	99
952	1973	97
953	1975	95
954	1976	93
955	1977	91
956	1978	88
957	1979	86
958	1980	84
959	1982	82
960	1983	80
961	1984	78
962	1985	76
963	1986	74
964	1987	72
965	1988	69
966	1990	67
967	1992	65
968	1993	63
969	1995	61
970	1996	59
971	1998	57
972	2000	55
973	2001	53
974	2003	51
975	2006	49
976	2009	47
977	2012	45
978	2014	43
979	2017	41
980	2020	39
981	2022	37
982	2024	35
983	2027	32
984	2030	30
985	2034	28
986	2036	26
987	2039	24
988	2042	22
989	2044	20
990	2046	18
991	2048	16
992	2050	14
993	2053	12
994	2055	10
995	2057	8
996	2059	6
997	2062	4
998	2064	2
999	2066	0
